Proposal,question,taxonomy
1046017,metabolism,Archaea
1046017,metabolism,Chromista
1046372,metabolism,Arthropoda
1046372,metabolism,Bacteria
1136345,metabolism,Cyanobacteria
1136345,metabolism,Chlorobionta
1136345,metabolism,Chromista
1136345,metabolism,Oomycota
1136727,metabolism,Bacteria
1136727,metabolism,Proteobacteria
1241221,metabolism,Viruses
1241221,metabolism,Cyanobacteria
1241221,metabolism,Proteobacteria
1241221,metabolism,Chromista
1342872,metabolism,Bacteria
1342872,metabolism,Proteobacteria
1342872,metabolism,Cyanobacteria
1342872,metabolism,Ascomycota
1342872,metabolism,Basidiomycota
1342872,metabolism,Glomeromycota
1342872,metabolism,Mucoromycota
1342872,metabolism,Zygomycota
1342872,metabolism,Gymnosperms
1342872,metabolism,Angiosperms
1442199,metabolism,Angiosperms
1442246,metabolism,Acidobacteria
1442246,metabolism,Actinobacteria
1442246,metabolism,Bacteriodetes
1442246,metabolism,Firmicutes
1442246,metabolism,Gemmatimonadetes
1442246,metabolism,Verrucomicrobia
1442246,metabolism,Angiosperms
1442246,metabolism,Gymnosperms
1542240,metabolism,Proteobacteria
1542240,metabolism,Chloroflexi
1542240,metabolism,Bacteriodetes
1542506,metabolism,Archaea
1542506,metabolism,Bacteria
1542506,metabolism,Firmicutes
1542506,metabolism,Proteobacteria
1542506,metabolism,Bacteriodetes
1542609,metabolism,Cyanobacteria
1542609,metabolism,Proteobacteria
1542609,metabolism,Bryophyta
1638296,metabolism,Cyanobacteria
1638296,metabolism,Chromista
1638296,metabolism,Chlorobionta
1639033,metabolism,Cyanobacteria
1639033,metabolism,Chlorobionta
1639033,metabolism,Chromista
1737898,metabolism,Proteobacteria
1737898,metabolism,Chlorobionta
1737898,metabolism,Chromista
1737898,metabolism,Glomeromycota
1737898,metabolism,Mucoromycota
1737898,metabolism,Zygomycota
1737898,metabolism,Bryophyta
1737898,metabolism,Gymnosperms
1737898,metabolism,Angiosperms
1738041,metabolism,Bacteria
1738041,metabolism,Fungi
1738041,metabolism,Angiosperms
1046017,nutrient cycling,Archaea
1046017,nutrient cycling,Chromista
1046121,nutrient cycling,Chlorobionta
1046297,nutrient cycling,Cyanobacteria
1046297,nutrient cycling,Proteobacteria
1046297,nutrient cycling,Chromista
1136484,nutrient cycling,Archaea
1136484,nutrient cycling,Bacteria
1136818,nutrient cycling,Viruses
1136818,nutrient cycling,Archaea
1136818,nutrient cycling,Bacteria
1136818,nutrient cycling,Cyanobacteria
1136818,nutrient cycling,Chromista
1136818,nutrient cycling,Chlorobionta
1240851,nutrient cycling,Bacteria
1240851,nutrient cycling,Cyanobacteria
1241094,nutrient cycling,Archaea
1241094,nutrient cycling,Bacteria
1241094,nutrient cycling,Proteobacteria
1342694,nutrient cycling,Proteobacteria
1342701,nutrient cycling,Bacteria
1442214,nutrient cycling,Archaea
1442214,nutrient cycling,Proteobacteria
1442214,nutrient cycling,Verrucomicrobia
1542240,nutrient cycling,Proteobacteria
1542240,nutrient cycling,Chloroflexi
1542240,nutrient cycling,Bacteriodetes
1638296,nutrient cycling,Cyanobacteria
1638296,nutrient cycling,Chromista
1638296,nutrient cycling,Chlorobionta
1639033,nutrient cycling,Cyanobacteria
1639033,nutrient cycling,Chlorobionta
1639033,nutrient cycling,Chromista
1045977,spp diversity,Ascomycota
1045977,spp diversity,Basidiomycota
1045977,spp diversity,Glomeromycota
1045977,spp diversity,Angiosperms
1046017,spp diversity,Archaea
1046017,spp diversity,Chromista
1046065,spp diversity,Ascomycota
1046065,spp diversity,Lichen
1046065,spp diversity,Bryophyta
1046065,spp diversity,Angiosperms
1046065,spp diversity,Gymnosperms
1046115,spp diversity,Ascomycota
1046115,spp diversity,Basidiomycota
1046115,spp diversity,Zygomycota
1046115,spp diversity,Gymnosperms
1046144,spp diversity,Viruses
1046144,spp diversity,Archaea
1046144,spp diversity,Proteobacteria
1046153,spp diversity,Proteobacteria
1046153,spp diversity,Arthropoda
1046297,spp diversity,Cyanobacteria
1046297,spp diversity,Proteobacteria
1046297,spp diversity,Chromista
1046328,spp diversity,Angiosperms
1046355,spp diversity,Angiosperms
1046355,spp diversity,Gymnosperms
1046408,spp diversity,Arthropoda
1046408,spp diversity,Amphibia
1046408,spp diversity,Osteichthyes
1046413,spp diversity,Viruses
1046413,spp diversity,Cnidaria
1135733,spp diversity,Angiosperms
1135733,spp diversity,Arthropoda
1136626,spp diversity,Basidiomycota
1136626,spp diversity,Angiosperms
1136626,spp diversity,Gymnosperms
1136640,spp diversity,Bacteria
1136640,spp diversity,Amphibia
1136818,spp diversity,Viruses
1136818,spp diversity,Archaea
1136818,spp diversity,Bacteria
1136818,spp diversity,Cyanobacteria
1136818,spp diversity,Chromista
1136818,spp diversity,Chlorobionta
1241041,spp diversity,Aves
1241046,spp diversity,Archaea
1241046,spp diversity,Bacteria
1241046,spp diversity,Proteobacteria
1241066,spp diversity,Angiosperms
1241066,spp diversity,Arthropoda
1241066,spp diversity,Mammalia
1241066,spp diversity,Aves
1241099,spp diversity,Bacteria
1241099,spp diversity,Arthropoda
1241136,spp diversity,Gymnosperms
1241136,spp diversity,Angiosperms
1241161,spp diversity,Proteobacteria
1241161,spp diversity,Cyanobacteria
1241161,spp diversity,Ascomycota
1241253,spp diversity,Archaea
1241253,spp diversity,Bacteria
1241253,spp diversity,Arthropoda
1342615,spp diversity,Bacteria
1342615,spp diversity,Mammalia
1342701,spp diversity,Bacteria
1342754,spp diversity,Angiosperms
1342754,spp diversity,Gymnosperms
1342754,spp diversity,Arthropoda
1342785,spp diversity,Proteobacteria
1342785,spp diversity,Mollusca
1342872,spp diversity,Bacteria
1342872,spp diversity,Proteobacteria
1342872,spp diversity,Cyanobacteria
1342872,spp diversity,Ascomycota
1342872,spp diversity,Basidiomycota
1342872,spp diversity,Glomeromycota
1342872,spp diversity,Mucoromycota
1342872,spp diversity,Zygomycota
1342872,spp diversity,Gymnosperms
1342872,spp diversity,Angiosperms
1342876,spp diversity,Viruses
1342876,spp diversity,Archaea
1343578,spp diversity,Bacteria
1343578,spp diversity,Proteobacteria
1343578,spp diversity,Chromista
1343578,spp diversity,Angiosperms
1343578,spp diversity,Arthropoda
1343578,spp diversity,Amphibia
1343578,spp diversity,Reptilia
1343578,spp diversity,Aves
1442103,spp diversity,Angiosperms
1442103,spp diversity,Arthropoda
1442214,spp diversity,Archaea
1442214,spp diversity,Proteobacteria
1442214,spp diversity,Verrucomicrobia
1442231,spp diversity,Firmicutes
1442231,spp diversity,Proteobacteria
1442231,spp diversity,Verrucomicrobia
1442231,spp diversity,Cyanobacteria
1442231,spp diversity,Actinobacteria
1442231,spp diversity,Lentisphaerae
1442231,spp diversity,Bacteriodetes
1442231,spp diversity,Chromista
1442231,spp diversity,Chlorobionta
1442262,spp diversity,Bacteria
1442262,spp diversity,Proteobacteria
1442262,spp diversity,Acidobacteria
1442262,spp diversity,Chloroflexi
1442262,spp diversity,Gemmatimonadetes
1442262,spp diversity,Actinobacteria
1442262,spp diversity,Firmicutes
1442262,spp diversity,Cyanobacteria
1442262,spp diversity,Chlorobionta
1442262,spp diversity,Chromista
1442280,spp diversity,Archaea
1442280,spp diversity,Bacteria
1442280,spp diversity,Proteobacteria
1442280,spp diversity,Cyanobacteria
1442306,spp diversity,Archaea
1442306,spp diversity,Bacteria
1442306,spp diversity,Proteobacteria
1442306,spp diversity,Cyanobacteria
1442306,spp diversity,Chromista
1442306,spp diversity,Ascomycota
1442306,spp diversity,Basidiomycota
1442306,spp diversity,Cnidaria
1442316,spp diversity,Proteobacteria
1442316,spp diversity,Verrucomicrobia
1442316,spp diversity,Arthropoda
1442348,spp diversity,Proteobacteria
1442348,spp diversity,Ascomycota
1442348,spp diversity,Gymnosperms
1524639,spp diversity,Lichen
1542599,spp diversity,Angiosperms
1542599,spp diversity,Arthropoda
1542681,spp diversity,Oomycota
1542681,spp diversity,Angiosperms
1638768,spp diversity,Proteobacteria
1638768,spp diversity,Acidobacteria
1638768,spp diversity,Chloroflexi
1638768,spp diversity,Bacteriodetes
1638768,spp diversity,Actinobacteria
1638768,spp diversity,Ascomycota
1638768,spp diversity,Angiosperms
1638768,spp diversity,Arthropoda
1737758,spp diversity,Bacteria
1737758,spp diversity,Ascomycota
1737758,spp diversity,Angiosperms
1738041,spp diversity,Bacteria
1738041,spp diversity,Fungi
1738041,spp diversity,Angiosperms
1046121,niche differentiation,Chlorobionta
1046328,niche differentiation,Angiosperms
1046355,niche differentiation,Angiosperms
1046355,niche differentiation,Gymnosperms
1136586,niche differentiation,Amphibia
1136586,niche differentiation,Aves
1136586,niche differentiation,Reptilia
1136710,niche differentiation,Chromista
1136710,niche differentiation,Arthropoda
1241041,niche differentiation,Aves
1241255,niche differentiation,Archaea
1241255,niche differentiation,Proteobacteria
1241255,niche differentiation,Cyanobacteria
1241255,niche differentiation,Chromista
1241255,niche differentiation,Porifera
1241255,niche differentiation,Cnidaria
1241255,niche differentiation,Mollusca
1241255,niche differentiation,Arthropoda
1241255,niche differentiation,Echinodermata
1241255,niche differentiation,Osteichthyes
1342701,niche differentiation,Bacteria
1342785,niche differentiation,Proteobacteria
1342785,niche differentiation,Mollusca
1342787,niche differentiation,Angiosperms
1342841,niche differentiation,Proteobacteria
1342841,niche differentiation,Angiosperms
1442103,niche differentiation,Angiosperms
1442103,niche differentiation,Arthropoda
1442231,niche differentiation,Firmicutes
1442231,niche differentiation,Proteobacteria
1442231,niche differentiation,Verrucomicrobia
1442231,niche differentiation,Cyanobacteria
1442231,niche differentiation,Actinobacteria
1442231,niche differentiation,Lentisphaerae
1442231,niche differentiation,Bacteriodetes
1442231,niche differentiation,Chromista
1442231,niche differentiation,Chlorobionta
1442316,niche differentiation,Proteobacteria
1442316,niche differentiation,Verrucomicrobia
1442316,niche differentiation,Arthropoda
1524534,niche differentiation,Reptilia
1542240,niche differentiation,Proteobacteria
1542240,niche differentiation,Chloroflexi
1542240,niche differentiation,Bacteriodetes
1638999,niche differentiation,Ascomycota
1638999,niche differentiation,Angiosperms
1639033,niche differentiation,Cyanobacteria
1639033,niche differentiation,Chlorobionta
1639033,niche differentiation,Chromista
1045977,functional diversity,Ascomycota
1045977,functional diversity,Basidiomycota
1045977,functional diversity,Glomeromycota
1045977,functional diversity,Angiosperms
1046065,functional diversity,Ascomycota
1046065,functional diversity,Lichen
1046065,functional diversity,Bryophyta
1046065,functional diversity,Angiosperms
1046065,functional diversity,Gymnosperms
1046113,functional diversity,Gymnosperms
1046113,functional diversity,Angiosperms
1046115,functional diversity,Ascomycota
1046115,functional diversity,Basidiomycota
1046115,functional diversity,Zygomycota
1046115,functional diversity,Gymnosperms
1046144,functional diversity,Viruses
1046144,functional diversity,Archaea
1046144,functional diversity,Proteobacteria
1046153,functional diversity,Proteobacteria
1046153,functional diversity,Arthropoda
1046297,functional diversity,Cyanobacteria
1046297,functional diversity,Proteobacteria
1046297,functional diversity,Chromista
1046328,functional diversity,Angiosperms
1046372,functional diversity,Arthropoda
1046372,functional diversity,Bacteria
1046413,functional diversity,Viruses
1046413,functional diversity,Cnidaria
1136484,functional diversity,Archaea
1136484,functional diversity,Bacteria
1136586,functional diversity,Amphibia
1136586,functional diversity,Aves
1136586,functional diversity,Reptilia
1136640,functional diversity,Bacteria
1136640,functional diversity,Amphibia
1136710,functional diversity,Chromista
1136710,functional diversity,Arthropoda
1136727,functional diversity,Bacteria
1136727,functional diversity,Proteobacteria
1136818,functional diversity,Viruses
1136818,functional diversity,Archaea
1136818,functional diversity,Bacteria
1136818,functional diversity,Cyanobacteria
1136818,functional diversity,Chromista
1136818,functional diversity,Chlorobionta
1240851,functional diversity,Bacteria
1240851,functional diversity,Cyanobacteria
1241046,functional diversity,Archaea
1241046,functional diversity,Bacteria
1241046,functional diversity,Proteobacteria
1241094,functional diversity,Archaea
1241094,functional diversity,Bacteria
1241094,functional diversity,Proteobacteria
1241099,functional diversity,Bacteria
1241099,functional diversity,Arthropoda
1241136,functional diversity,Gymnosperms
1241136,functional diversity,Angiosperms
1241212,functional diversity,Ascomycota
1241212,functional diversity,Basidiomycota
1241221,functional diversity,Viruses
1241221,functional diversity,Cyanobacteria
1241221,functional diversity,Proteobacteria
1241221,functional diversity,Chromista
1241253,functional diversity,Archaea
1241253,functional diversity,Bacteria
1241253,functional diversity,Arthropoda
1241255,functional diversity,Archaea
1241255,functional diversity,Proteobacteria
1241255,functional diversity,Cyanobacteria
1241255,functional diversity,Chromista
1241255,functional diversity,Porifera
1241255,functional diversity,Cnidaria
1241255,functional diversity,Mollusca
1241255,functional diversity,Arthropoda
1241255,functional diversity,Echinodermata
1241255,functional diversity,Osteichthyes
1342615,functional diversity,Bacteria
1342615,functional diversity,Mammalia
1342754,functional diversity,Angiosperms
1342754,functional diversity,Gymnosperms
1342754,functional diversity,Arthropoda
1342785,functional diversity,Proteobacteria
1342785,functional diversity,Mollusca
1342872,functional diversity,Bacteria
1342872,functional diversity,Proteobacteria
1342872,functional diversity,Cyanobacteria
1342872,functional diversity,Ascomycota
1342872,functional diversity,Basidiomycota
1342872,functional diversity,Glomeromycota
1342872,functional diversity,Mucoromycota
1342872,functional diversity,Zygomycota
1342872,functional diversity,Gymnosperms
1342872,functional diversity,Angiosperms
1442214,functional diversity,Archaea
1442214,functional diversity,Proteobacteria
1442214,functional diversity,Verrucomicrobia
1442262,functional diversity,Bacteria
1442262,functional diversity,Proteobacteria
1442262,functional diversity,Acidobacteria
1442262,functional diversity,Chloroflexi
1442262,functional diversity,Gemmatimonadetes
1442262,functional diversity,Actinobacteria
1442262,functional diversity,Firmicutes
1442262,functional diversity,Cyanobacteria
1442262,functional diversity,Chlorobionta
1442262,functional diversity,Chromista
1442280,functional diversity,Archaea
1442280,functional diversity,Bacteria
1442280,functional diversity,Proteobacteria
1442280,functional diversity,Cyanobacteria
1442306,functional diversity,Archaea
1442306,functional diversity,Bacteria
1442306,functional diversity,Proteobacteria
1442306,functional diversity,Cyanobacteria
1442306,functional diversity,Chromista
1442306,functional diversity,Ascomycota
1442306,functional diversity,Basidiomycota
1442306,functional diversity,Cnidaria
1442316,functional diversity,Proteobacteria
1442316,functional diversity,Verrucomicrobia
1442316,functional diversity,Arthropoda
1442348,functional diversity,Proteobacteria
1442348,functional diversity,Ascomycota
1442348,functional diversity,Gymnosperms
1524639,functional diversity,Lichen
1542240,functional diversity,Proteobacteria
1542240,functional diversity,Chloroflexi
1542240,functional diversity,Bacteriodetes
1542506,functional diversity,Archaea
1542506,functional diversity,Bacteria
1542506,functional diversity,Firmicutes
1542506,functional diversity,Proteobacteria
1542506,functional diversity,Bacteriodetes
1542609,functional diversity,Cyanobacteria
1542609,functional diversity,Proteobacteria
1542609,functional diversity,Bryophyta
1638296,functional diversity,Cyanobacteria
1638296,functional diversity,Chromista
1638296,functional diversity,Chlorobionta
1638768,functional diversity,Proteobacteria
1638768,functional diversity,Acidobacteria
1638768,functional diversity,Chloroflexi
1638768,functional diversity,Bacteriodetes
1638768,functional diversity,Actinobacteria
1638768,functional diversity,Ascomycota
1638768,functional diversity,Angiosperms
1638768,functional diversity,Arthropoda
1638958,functional diversity,Cyanobacteria
1638958,functional diversity,Chromista
1639014,functional diversity,Arthropoda
1045977,variation across variable/gradient,Ascomycota
1045977,variation across variable/gradient,Basidiomycota
1045977,variation across variable/gradient,Glomeromycota
1045977,variation across variable/gradient,Angiosperms
1046017,variation across variable/gradient,Archaea
1046017,variation across variable/gradient,Chromista
1046065,variation across variable/gradient,Ascomycota
1046065,variation across variable/gradient,Lichen
1046065,variation across variable/gradient,Bryophyta
1046065,variation across variable/gradient,Angiosperms
1046065,variation across variable/gradient,Gymnosperms
1046113,variation across variable/gradient,Gymnosperms
1046113,variation across variable/gradient,Angiosperms
1046153,variation across variable/gradient,Proteobacteria
1046153,variation across variable/gradient,Arthropoda
1046297,variation across variable/gradient,Cyanobacteria
1046297,variation across variable/gradient,Proteobacteria
1046297,variation across variable/gradient,Chromista
1046328,variation across variable/gradient,Angiosperms
1046355,variation across variable/gradient,Angiosperms
1046355,variation across variable/gradient,Gymnosperms
1046408,variation across variable/gradient,Arthropoda
1046408,variation across variable/gradient,Amphibia
1046408,variation across variable/gradient,Osteichthyes
1136484,variation across variable/gradient,Archaea
1136484,variation across variable/gradient,Bacteria
1136586,variation across variable/gradient,Amphibia
1136586,variation across variable/gradient,Aves
1136586,variation across variable/gradient,Reptilia
1136710,variation across variable/gradient,Chromista
1136710,variation across variable/gradient,Arthropoda
1136818,variation across variable/gradient,Viruses
1136818,variation across variable/gradient,Archaea
1136818,variation across variable/gradient,Bacteria
1136818,variation across variable/gradient,Cyanobacteria
1136818,variation across variable/gradient,Chromista
1136818,variation across variable/gradient,Chlorobionta
1241066,variation across variable/gradient,Angiosperms
1241066,variation across variable/gradient,Arthropoda
1241066,variation across variable/gradient,Mammalia
1241066,variation across variable/gradient,Aves
1241212,variation across variable/gradient,Ascomycota
1241212,variation across variable/gradient,Basidiomycota
1241255,variation across variable/gradient,Archaea
1241255,variation across variable/gradient,Proteobacteria
1241255,variation across variable/gradient,Cyanobacteria
1241255,variation across variable/gradient,Chromista
1241255,variation across variable/gradient,Porifera
1241255,variation across variable/gradient,Cnidaria
1241255,variation across variable/gradient,Mollusca
1241255,variation across variable/gradient,Arthropoda
1241255,variation across variable/gradient,Echinodermata
1241255,variation across variable/gradient,Osteichthyes
1342615,variation across variable/gradient,Bacteria
1342615,variation across variable/gradient,Mammalia
1342712,variation across variable/gradient,Arthropoda
1342754,variation across variable/gradient,Angiosperms
1342754,variation across variable/gradient,Gymnosperms
1342754,variation across variable/gradient,Arthropoda
1342841,variation across variable/gradient,Proteobacteria
1342841,variation across variable/gradient,Angiosperms
1342873,variation across variable/gradient,Angiosperms
1342873,variation across variable/gradient,Arthropoda
1343578,variation across variable/gradient,Bacteria
1343578,variation across variable/gradient,Proteobacteria
1343578,variation across variable/gradient,Chromista
1343578,variation across variable/gradient,Angiosperms
1343578,variation across variable/gradient,Arthropoda
1343578,variation across variable/gradient,Amphibia
1343578,variation across variable/gradient,Reptilia
1343578,variation across variable/gradient,Aves
1442103,variation across variable/gradient,Angiosperms
1442103,variation across variable/gradient,Arthropoda
1442214,variation across variable/gradient,Archaea
1442214,variation across variable/gradient,Proteobacteria
1442214,variation across variable/gradient,Verrucomicrobia
1442231,variation across variable/gradient,Firmicutes
1442231,variation across variable/gradient,Proteobacteria
1442231,variation across variable/gradient,Verrucomicrobia
1442231,variation across variable/gradient,Cyanobacteria
1442231,variation across variable/gradient,Actinobacteria
1442231,variation across variable/gradient,Lentisphaerae
1442231,variation across variable/gradient,Bacteriodetes
1442231,variation across variable/gradient,Chromista
1442231,variation across variable/gradient,Chlorobionta
1442246,variation across variable/gradient,Acidobacteria
1442246,variation across variable/gradient,Actinobacteria
